level,id_study,Country,iso,is_new,start_year,end_year,mid_year,survey,survey_short,survey_type,urban_rural,age_range_F,age_range_M,N_tc_F,N_tc_M,N_ldl_F,N_ldl_M,N_hdl_F,N_hdl_M,N_non_hdl_F,N_non_hdl_M,N_tc_hdl_r_F,N_tc_hdl_r_M,N_trg_F,N_trg_M,N_hyperchol_F,N_hyperchol_M,N_med_F,N_med_M,is_ldl_calc,is_ldl_fasting,fasting_hr,device_tc,device_ldl,device_hdl,device_trg,Region,Superregion
individual,ESP_2009_RECCyL,Spain,ESP,Yes,2009,2009,2009,Cardiovascular Risk Study in Castilla y León (RECCyL),RECCyL,Subnational,both, 20+, 20+,1572,1291,1558,1261,1558,1270,1558,1270,1558,1270,1572,1289,1572,1291,1578,1311,1,1,,,,,,South Western Europe,High-income Western countries
summary,ESP_2013_INMA-Menorca,Spain,ESP,Yes,2012,2013,2013,AMICS-INfancia y Medio Ambiente (Childhood and Environment) Project - Menorca,INMA-Menorca,Subnational,both, 14-15, 14-15,129,134,129,134,129,134,129,134,129,134,129,134,129,134,,,1,1,8,lab,lab,lab,lab,South Western Europe,High-income Western countries
summary,ESP_2014_IDEFICS-IFAMILY,Spain,ESP,Yes,2013,2014,2014,IDEFICS/ I.Family-study,IDEFICS-IFAMILY,Community,urban, 10-14, 10-14,140,142,140,142,140,142,140,142,140,142,140,142,140,142,,,0,1,min 8 hours,lab,lab,lab,lab,South Western Europe,High-income Western countries
individual,ESP_2014_RECCyL,Spain,ESP,Yes,2014,2014,2014,Cardiovascular Risk Study in Castilla y León (RECCyL),RECCyL,Subnational,both, 20+, 20+,1509,1220,1466,1182,1466,1187,1467,1188,1467,1188,1503,1215,1509,1220,1495,1225,1,1,,,,,,South Western Europe,High-income Western countries
individual,ESP_2015_ENRICA,Spain,ESP,Yes,2015,2015,2015,Study on Nutrition and Cardiovascular Risk in Spain (ENRICA),ENRICA,National,both, 65+, 65+,770,704,769,701,770,703,770,703,770,703,770,704,770,704,952,871,1,1,,,,,,South Western Europe,High-income Western countries
individual,LKA_2014_STEPS,Sri Lanka,LKA,Yes,2014,2014,2014,STEPS,STEPS,National,both, 18-69, 18-69,2748,1742,,,,,,,,,,,2748,1742,2748,1735,,,,cardiocheck,,,,South East Asia,East and South East Asia
report,SDN_2005_STEPS,Sudan,SDN,Report,2005,2005,2006,STEPS,STEPS,National,both, 25-64, 25-64,317,145,,,,,,,,,,,,,,,,,,,,,,East Africa,Sub-Saharan Africa
individual,SDN_2016_STEPS,Sudan,SDN,Yes,2016,2016,2016,STEPS,STEPS,National,both, 18-69, 18-69,4302,2502,,,4062,2226,3651,1722,3651,1723,,,4302,2502,4338,2533,,,,cardiocheck,,cardiocheck,,East Africa,Sub-Saharan Africa
individual,SUR_2014_HELISUR,Suriname,SUR,Yes,2013,2015,2014,The Healthy Life in Suriname Study (HELISUR),HELISUR,Subnational,urban, 18-70, 18-70,722,424,721,424,722,424,722,424,722,424,719,422,722,424,722,424,1,1,,,,,,Caribbean,Latin America and Caribbean
individual,SWZ_2007_STEPS,Swaziland,SWZ,Yes,2007,2007,2007,STEPS,STEPS,National,both, 25-64, 25-64,,,,,,,,,,,,,,,,,,,,,,,,Southern Africa,Sub-Saharan Africa
individual,SWZ_2014_STEPS,Swaziland,SWZ,Yes,2014,2014,2014,STEPS,STEPS,National,both, 15-69, 15-69,1857,1044,,,1878,1051,1595,773,1596,773,,,1857,1044,1829,1029,,,,cardiocheck,,cardiocheck,,Southern Africa,Sub-Saharan Africa
individual,SWE_1969_PSWG,Sweden,SWE,Yes,1968,1969,1969,Population Study of Women in Gothenburg,PSWG,Community,urban, 38-60, ,1456,,,,,,,,,,1458,,1456,,,,,1,,,,,,North Western Europe,High-income Western countries
summary,SWE_1972_ULSAM,Sweden,SWE,Yes,1970,1973,1972,Uppsala Longitudinal Study of Adult Men ,ULSAM,Community,both, ,50,,2322,,1874,,1874,,1874,,1874,,2320,,2322,,,1,1,overnight fast,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,SWE_1974_PSWG,Sweden,SWE,Yes,1974,1975,1974,Population Study of Women in Gothenburg,PSWG,Community,urban, 44-67, ,1288,,,,,,,,,,1287,,1288,,,,,1,,,,,,North Western Europe,High-income Western countries
individual,SWE_1980_PSWG,Sweden,SWE,Yes,1980,1981,1980,Population Study of Women in Gothenburg,PSWG,Community,urban, 50-72, ,1132,,,,,,,,,,1132,,1132,,,,,1,,,,,,North Western Europe,High-income Western countries
last round,SWE_1980_10752992,Sweden,SWE,No,NA,NA,1980,"Welin, 1992 (64)",NA,Community,urban, , 67-67,,66,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1980_10752912,Sweden,SWE,No,NA,NA,1980,"Welin, 1992 (64)",NA,Community,urban, , 67-67,,529,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
summary,SWE_1983_ULSAM,Sweden,SWE,Yes,1980,1984,1983,Uppsala Longitudinal Study of Adult Men ,ULSAM,Community,both, ,60,,593,,219,,230,,219,,219,,595,,593,,,1,1,overnight fast,lab,lab,lab,lab,North Western Europe,High-income Western countries
last round,SWE_1983_10752923,Sweden,SWE,No,NA,NA,1983,"Ogren, 1993 (65)",NA,Community,urban, , 69-69,,6,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1983_10752918,Sweden,SWE,No,NA,NA,1983,"Ogren, 1993 (65)",NA,Community,urban, , 69-69,,206,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1983_10752920,Sweden,SWE,No,NA,NA,1983,"Ogren, 1993 (65)",NA,Community,urban, , 69-69,,90,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1983_10752922,Sweden,SWE,No,NA,NA,1983,"Ogren, 1993 (65)",NA,Community,urban, , 69-69,,17,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1983_10752919,Sweden,SWE,No,NA,NA,1983,"Ogren, 1993 (65)",NA,Community,urban, , 69-69,,23,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1983_10752921,Sweden,SWE,No,NA,NA,1983,"Ogren, 1993 (65)",NA,Community,urban, , 69-69,,53,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1983_10752924,Sweden,SWE,No,NA,NA,1983,"Ogren, 1993 (65)",NA,Community,urban, , 69-69,,30,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1983_10752925,Sweden,SWE,No,NA,NA,1983,"Ogren, 1993 (65)",NA,Community,urban, , 69-69,,14,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
individual,SWE_1985_MONICAgothenburg,Sweden,SWE,Yes,1985,1985,1985,MONICA Gothenburg,MONICAgothenburg,Community,urban, 25-64, 25-64,689,636,676,616,682,631,682,628,682,628,688,634,689,636,,,1,,,,,,,North Western Europe,High-income Western countries
summary,SWE_1986_MONICA,Sweden,SWE,Yes,1986,1986,1986,MONICA Northern Sweden,MONICA,Subnational,both, 25-64, 25-64,802,823,,,801,822,801,822,801,822,,,802,823,,,,,"Over 60% 8 hours overnight, rest at least 4 hours (Triglycerides all 8 hours)",lab,,lab,,North Western Europe,High-income Western countries
individual,SWE_1990_MONICAgothenburg,Sweden,SWE,Yes,1990,1990,1990,MONICA Gothenburg,MONICAgothenburg,Community,urban, 25-64, 25-64,774,773,771,755,772,771,772,771,772,771,773,771,774,773,773,770,1,,,,,,,North Western Europe,High-income Western countries
summary,SWE_1990_MONICA,Sweden,SWE,Yes,1990,1990,1990,MONICA Northern Sweden,MONICA,Subnational,both, 25-64, 25-64,799,773,,,803,770,798,770,798,770,,,799,773,,,,,"Over 60% 8 hours overnight, rest at least 4 hours (Triglycerides all 8 hours)",lab,,lab,,North Western Europe,High-income Western countries
individual,SWE_1992_PSWG,Sweden,SWE,Yes,1992,1993,1992,Population Study of Women in Gothenburg,PSWG,Community,urban, 62-84, ,810,,,,,,,,,,811,,810,,,,,1,,,,,,North Western Europe,High-income Western countries
last round,SWE_1992_10752913,Sweden,SWE,No,NA,NA,1992,"Frisk, 2003 (66)",NA,Community,urban, 35+, ,1014,,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
summary,SWE_1993_ULSAM,Sweden,SWE,Yes,1991,1995,1993,Uppsala Longitudinal Study of Adult Men ,ULSAM,Community,both, ,70,,1220,,1214,,1218,,1218,,1218,,1220,,1220,,,1,1,overnight fast,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,SWE_1993_MDC,Sweden,SWE,Yes,1992,1994,1993,Malmö Diet and Cancer,MDC,Community,urban, 46-68, 46-68,3226,2285,3154,2217,3193,2260,3184,2255,3184,2255,3228,2282,3226,2285,,,1,1,overnight fast,,,,,North Western Europe,High-income Western countries
last round,SWE_1993_10752200,Sweden,SWE,No,NA,NA,1993,"Rosengren, 2000 (68)",NA,Community,urban, , 50-50,,798,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
summary,SWE_1994_MONICA,Sweden,SWE,Yes,1994,1994,1994,MONICA Northern Sweden,MONICA,Subnational,both, 25-74, 25-74,975,939,,,974,939,974,939,974,939,,,975,939,,,,,"Over 60% 8 hours overnight, rest at least 4 hours (Triglycerides all 8 hours)",lab,,lab,,North Western Europe,High-income Western countries
summary,SWE_1994_HP,Sweden,SWE,Yes,1994,1994,1994,Helicobacter Pylori,HP,Community,urban, 56-65, 56-65,217,170,217,170,217,170,,,,,,,,,,,1,1,overnight fast,lab,lab,lab,,North Western Europe,High-income Western countries
individual,SWE_1995_MONICAgothenburg,Sweden,SWE,Yes,1995,1995,1995,MONICA Gothenburg,MONICAgothenburg,Community,urban, 25-64, 25-64,863,742,855,717,861,740,861,739,861,739,863,742,863,742,855,724,1,,,,,,,North Western Europe,High-income Western countries
last round,SWE_1997_10752201,Sweden,SWE,No,NA,NA,1997,"Johansson, 2002 (69)",NA,Community,urban, 35-55, 35-55,135,137,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
summary,SWE_1999_MONICA,Sweden,SWE,Yes,1999,1999,1999,MONICA Northern Sweden,MONICA,Subnational,both, 25-74, 25-74,927,886,,,,,,,,,,,927,886,,,,,"Over 60% 8 hours overnight, rest at least 4 hours ",,,,,North Western Europe,High-income Western countries
individual,SWE_1999_EYHS,Sweden,SWE,Yes,1998,1999,1999,European Youth Heart Study (EYHS) I,EYHS,Subnational,urban, 10-16, 10-16,295,264,295,264,295,264,295,264,295,264,295,264,295,264,,,1,1,,,,,,North Western Europe,High-income Western countries
last round,SWE_2000_10752914,Sweden,SWE,No,NA,NA,2000,"Frisk, 2003 (66)",NA,Community,urban, 35+, ,561,,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
summary,SWE_2003_PIVUS70,Sweden,SWE,Yes,2001,2004,2003,Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),PIVUS70,Community,both,70,70,507,506,506,505,507,506,506,506,506,506,508,504,507,506,,,1,1,overnight fast,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,SWE_2003_INTERGENE,Sweden,SWE,Yes,2001,2004,2003,Swedish INTERGENE Cohort Study,INTERGENE,Subnational,both, 24-76, 24-76,1701,1516,1693,1476,1698,1507,1698,1507,1698,1507,1699,1514,1701,1516,1907,1694,1,1,,,,,,North Western Europe,High-income Western countries
individual,SWE_2003_EMAS,Sweden,SWE,Yes,2003,2003,2003,The European Male Ageing Study,EMAS,Community,both, , 40+,,404,,398,,407,,401,,404,,407,,404,,,1,1,,,,,,North Western Europe,High-income Western countries
summary,SWE_2004_MONICA,Sweden,SWE,Yes,2004,2004,2004,MONICA Northern Sweden,MONICA,Subnational,both, 25-74, 25-74,975,927,,,,,,,,,,,975,927,,,,,"Over 60% 8 hours overnight, rest at least 4 hours ",,,,,North Western Europe,High-income Western countries
last round,SWE_2004_10752016,Sweden,SWE,No,NA,NA,2004,"LSH; Hollman, 2008 (70)",NA,Community,urban, 45-69, 45-69,502,497,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
last round,SWE_2005_10752916,Sweden,SWE,No,NA,NA,2005,"Frisk, 2003 (66)",NA,Community,urban, 35+, ,538,,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
individual,SWE_2005_EYHS,Sweden,SWE,Yes,2004,2005,2005,European Youth Heart Study (EYHS) II,EYHS,Subnational,urban, 15-21, 15-21,247,189,247,189,247,190,247,189,247,189,247,190,247,189,,,1,1,,,,,,North Western Europe,High-income Western countries
individual,SWE_2005_PSWG,Sweden,SWE,Yes,2004,2005,2005,Population Study of Women in Gothenburg,PSWG,Community,urban, 38-50, ,494,,491,,493,,493,,493,,495,,494,,,,0,1,,,,,,North Western Europe,High-income Western countries
individual,SWE_2007_HELENA,Sweden,SWE,Yes,2006,2007,2007,HELENA,HELENA,Community,urban, 12-17, 12-17,50,49,50,49,50,49,50,49,50,49,50,49,50,49,,,0,1,,,,,,North Western Europe,High-income Western countries
summary,SWE_2008_PIVUS75,Sweden,SWE,Yes,2006,2009,2008,Prospective Investigation of the Vasculature in Uppsala Seniors (PIVUS),PIVUS75,Community,both,75,75,419,407,418,407,418,407,418,407,418,407,419,407,419,407,,,1,1,overnight fast,lab,lab,lab,lab,North Western Europe,High-income Western countries
individual,SWE_2008_EMAS,Sweden,SWE,Yes,2008,2008,2008,The European Male Ageing Study,EMAS,Community,both, , 40+,,358,,360,,361,,355,,355,,366,,358,,242,1,1,,,,,,North Western Europe,High-income Western countries
summary,SWE_2009_MONICA,Sweden,SWE,Yes,2009,2009,2009,MONICA Northern Sweden,MONICA,Subnational,both, 25-74, 25-74,869,848,,,,,,,,,,,869,848,,,,,"Over 60% 8 hours overnight, rest at least 4 hours ",,,,,North Western Europe,High-income Western countries
summary,SWE_2010_MDC,Sweden,SWE,Yes,2007,2012,2010,Malmö Diet and Cancer Cardiovascular Cohort Reexamination (MDC-ÅUS),MDC,Community,urban, 62-85, 62-85,2182,1509,2176,1496,2182,1507,2182,1507,2182,1507,2182,1510,2182,1509,,,1,1,"overnight, hour not reported",lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,SWE_2012_EpiHealth,Sweden,SWE,Yes,2011,2012,2012,EpiHealth,EpiHealth,National,both, 45-75, 45-75,5661,4441,5661,4441,5661,4441,5661,4441,5661,4441,5661,4441,5661,4441,,,1,1,,mixed,mixed,mixed,mixed,North Western Europe,High-income Western countries
summary,SWE_2014_IDEFICS-IFAMILY,Sweden,SWE,Yes,2013,2014,2014,IDEFICS/ I.Family-study,IDEFICS-IFAMILY,Community,both, 10-15, 10-15,123,136,123,136,123,136,123,136,123,136,123,136,123,136,,,0,1,min 8 hours,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,SWE_2014_MONICA,Sweden,SWE,Yes,2014,2014,2014,MONICA Northern Sweden,MONICA,Subnational,both, 25-74, 25-74,800,749,,,,,,,,,,,800,749,,,,,"Over 60% 8 hours overnight, rest at least 4 hours ",,,,,North Western Europe,High-income Western countries
individual,SWE_2015_intergene13yrs,Sweden,SWE,Yes,2014,2016,2015,Swedish INTERGENE Cohort Study,intergene13yrs,Subnational,urban, 37-88, 37-88,638,587,639,587,639,587,638,587,638,587,636,586,638,587,659,606,0,1,,,,,,North Western Europe,High-income Western countries
individual,SWE_2017_PSWG,Sweden,SWE,Yes,2016,2017,2017,Population Study of Women in Gothenburg,PSWG,Community,urban, 38-50, ,563,,565,,564,,563,,563,,561,,563,,573,,0,1,,,,,,North Western Europe,High-income Western countries
individual,CHE_1985_MONICA,Switzerland,CHE,Yes,1984,1986,1985,The Swiss MONICA Study Wave I,MONICA,Subnational,both, 25-74, 25-74,1611,1702,,,1610,1700,1610,1700,1610,1700,,,1611,1702,,,,,,lab,,lab,,North Western Europe,High-income Western countries
individual,CHE_1989_MONICA,Switzerland,CHE,Yes,1988,1989,1989,The Swiss MONICA Study Wave II,MONICA,Subnational,both, 25-74, 25-74,1617,1724,1617,1724,1617,1724,1617,1724,1617,1724,,,1617,1724,,,,,,lab,lab,lab,,North Western Europe,High-income Western countries
individual,CHE_1993_MONICA,Switzerland,CHE,Yes,1992,1993,1993,The Swiss MONICA Study Wave III,MONICA,Subnational,both, 25-74, 25-74,1623,1520,509,482,1623,1520,1623,1520,1623,1520,521,513,1623,1520,,,1,,,lab,lab,lab,lab,North Western Europe,High-income Western countries
last round,CHE_2001_10756005,Switzerland,CHE,No,NA,NA,2001,"Bernstein, 2002 (71)",NA,Community,urban, 35-74, 35-74,3531,3552,,,,,,,,,,,,,,,,,,,,,,North Western Europe,High-income Western countries
summary,CHE_2005_CoLaus,Switzerland,CHE,Yes,2003,2006,2005,Cohorte Lausannoise (CoLaus),CoLaus,Community,urban, 35-75, 35-75,3532,3177,3521,3087,3531,3177,3531,3177,3531,3177,3532,3173,3532,3177,,,1,1,8,lab,lab,lab,,North Western Europe,High-income Western countries
individual,CHE_2005_KISS,Switzerland,CHE,Yes,2005,2005,2005,Kinder- und Jugendsportstudie (KISS),KISS,Subnational,both, 10-13, 10-13,117,103,117,103,117,103,117,103,117,103,113,98,117,103,,,,,,,,,,North Western Europe,High-income Western countries
individual,CHE_2006_KISS,Switzerland,CHE,Yes,2006,2006,2006,Kinder- und Jugendsportstudie (KISS),KISS,Subnational,both, 10-14, 10-14,41,37,41,37,41,37,41,37,41,37,38,30,41,37,,,,,,,,,,North Western Europe,High-income Western countries
individual,CHE_2009_KISS,Switzerland,CHE,Yes,2009,2009,2009,Kinder- und Jugendsportstudie (KISS),KISS,Subnational,both, 10-17, 10-17,40,28,40,29,40,30,40,28,40,29,40,29,40,28,,,,,,,,,,North Western Europe,High-income Western countries
summary,CHE_2010_BSS,Switzerland,CHE,Yes,2007,2012,2010,Bus Santé Study,BSS,Subnational,urban, 20-80, 20-80,1916,1884,1916,1884,1916,1884,1916,1884,1916,1884,1916,1884,1916,1884,,,1,1,8,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,CHE_2011_CoLaus,Switzerland,CHE,Yes,2009,2012,2011,Cohorte Lausannoise (CoLaus),CoLaus,Community,urban, 40-81, 40-81,2505,2192,2495,2156,2505,2192,2505,2192,2505,2192,2505,2192,2505,2192,,,1,1,8,lab,lab,lab,,North Western Europe,High-income Western countries
summary,CHE_2015_BSS,Switzerland,CHE,Yes,2013,2016,2015,Bus Santé,BSS,Subnational,urban, 20-74, 20-74,2145,2011,2143,2009,2145,2012,2144,2011,2144,2011,2145,2011,2145,2011,,,1,1,8,lab,lab,lab,lab,North Western Europe,High-income Western countries
summary,CHE_2016_CoLaus,Switzerland,CHE,Yes,2014,2017,2016,Cohorte Lausannoise (CoLaus),CoLaus,Community,urban, 45-87, 45-87,2488,2022,2478,1981,2487,2022,2487,2022,2487,2022,2487,2022,2488,2022,,,1,1,8,lab,lab,lab,lab,North Western Europe,High-income Western countries
report,SYR_2002_NSNCD,Syrian Arab Republic,SYR,Report,2002,2002,2002,National Survey on non-communicable diseases and factors affecting their development,NSNCD,National,both, 15-65, 15-65,2958,1784,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,TWN_1995_NAHSIT,Taiwan,TWN,Yes,1993,1996,1995,Nutrition and Health Survey in Taiwan 1993-1996,NAHSIT,National,both, 10+, 10+,2495,2294,2455,2243,2485,2273,2477,2265,2478,2268,2494,2295,2495,2294,3992,4013,1,1,11.6656143,lab,lab,lab,lab,East Asia,East and South East Asia
last round,TWN_1996_3158003,Taiwan,TWN,No,NA,NA,1996,"Lu, 1998 (16)",NA,Subnational,urban, 15-84, 15-84,758,695,,,,,,,,,,,,,,,,,,,,,,East Asia,East and South East Asia
individual,TWN_2000_NAHSIT,Taiwan,TWN,Yes,1999,2000,2000,Nutrition and Health Survey in Taiwan 1999-2000,NAHSIT,National,both, 65+, 65+,1202,1257,1199,1255,1203,1256,1201,1255,1201,1255,1204,1259,1202,1257,67,49,1,1,12.17669728,lab,lab,lab,lab,East Asia,East and South East Asia
individual,TWN_2000_SEBAS,Taiwan,TWN,Yes,2000,2000,2000,Social Environment and Biomarkers of Aging Study,SEBAS,National,both, 50+, 50+,433,589,426,581,433,589,433,589,433,589,433,589,433,589,,,1,,,,,,,East Asia,East and South East Asia
individual,TWN_2002_NAHSIT,Taiwan,TWN,Yes,2001,2002,2002,Nutrition and Health Survey in Taiwan 2001-2002,NAHSIT,National,both, 10-12, 10-12,454,512,454,509,454,509,451,509,451,509,455,512,454,512,469,523,1,1,12.41328098,lab,lab,lab,lab,East Asia,East and South East Asia
summary,TWN_2002_TSHHH,Taiwan,TWN,Yes,2002,2002,2002,"Taiwanese Survey on Hypertension, Hyperglycemia and Hyperlipidemia",TSHHH,National,both, 15+, 15+,3435,3167,3435,3167,3435,3167,3435,3167,3435,3167,3435,3167,3435,3167,,,1,1,,,,,,East Asia,East and South East Asia
last round,TWN_2005_3158005,Taiwan,TWN,No,NA,NA,2005,TCHS  ,NA,Community,urban, 40+, 40+,1211,1147,,,,,,,,,,,,,,,,,,,,,,East Asia,East and South East Asia
individual,TWN_2006_SEBAS,Taiwan,TWN,Yes,2006,2006,2006,Social Environment and Biomarkers of Aging Study,SEBAS,National,both, 53+, 53+,477,555,,,,,,,,,477,555,477,555,,,,,,,,,,East Asia,East and South East Asia
summary,TWN_2007_TSHHH,Taiwan,TWN,Yes,2007,2007,2007,"Taiwanese Survey on Hypertension, Hyperglycemia and Hyperlipidemia",TSHHH,National,both, 20+, 20+,2365,2046,2365,2046,2365,2046,2365,2046,2365,2046,2365,2046,2365,2046,,,1,1,,,,,,East Asia,East and South East Asia
individual,TWN_2007_NAHSIT,Taiwan,TWN,Yes,2005,2008,2007,Nutrition and Health Survey in Taiwan 2005-2008,NAHSIT,National,both, 19+, 19+,1371,1322,1367,1320,1369,1321,1369,1321,1369,1321,1370,1318,1371,1322,1269,1217,0,1,,lab,lab,lab,lab,East Asia,East and South East Asia
individual,TWN_2015_NAHSIT,Taiwan,TWN,Yes,2013,2016,2015,Nutrition and Health Survey in Taiwan,NAHSIT,National,both, 10+, 10+,2174,2096,2174,2095,2174,2093,2175,2093,2175,2093,2174,2096,2174,2096,4220,4241,,,11.97212498,,,,,East Asia,East and South East Asia
individual,TJK_2016_STEPS,Tajikistan,TJK,Yes,2016,2016,2016,STEPS,STEPS,National,both, 18-69, 18-69,1526,1075,,,1518,1065,1376,886,1376,886,,,1526,1075,1526,1075,,,,cardiocheck,,cardiocheck,,Central Asia,Central Asia and North Africa-Middle East
last round,TZA_1990_19834903,Tanzania,TZA,No,NA,NA,1990,"Swai, 1993 (103)",NA,Subnational,rural, 25-99, 25-99,356,241,,,,,,,,,,,,,,,,,,,,,,East Africa,Sub-Saharan Africa
last round,TZA_1990_19834902,Tanzania,TZA,No,NA,NA,1990,"Swai, 1993 (103)",NA,Subnational,rural, 25-99, 25-99,889,911,,,,,,,,,,,,,,,,,,,,,,East Africa,Sub-Saharan Africa
last round,TZA_1990_19834901,Tanzania,TZA,No,NA,NA,1990,"Swai, 1993 (103)",NA,Subnational,rural, 25-99, 25-99,1641,1105,,,,,,,,,,,,,,,,,,,,,,East Africa,Sub-Saharan Africa
individual,TZA_2011_STEPS,Tanzania,TZA,Yes,2011,2011,2011,STEPS,STEPS,Subnational,both, 25-64, 25-64,1315,819,,,,,,,,,969,728,1315,819,1441,933,,,,accutrend,,,accutrend,East Africa,Sub-Saharan Africa
individual,TZA_2012_STEPS,Tanzania,TZA,Yes,2012,2012,2012,STEPS,STEPS,National,both, 25-64, 25-64,986,802,,,,,,,,,953,772,986,802,1780,1548,,,,accutrend,,,accutrend,East Africa,Sub-Saharan Africa
summary,TZA_2014_DUCS,Tanzania,TZA,Yes,2014,2014,2014,Dar es Salaam Urban Cohort Hypertension Study,DUCS,Community,urban, 40+, 40+,251,166,,,,,,,,,,,251,166,,,,,,cardiocheck,,,,East Africa,Sub-Saharan Africa
individual,THA_1991_NHES,Thailand,THA,Yes,1991,1991,1991,Thailand National Health Examination Survey I,NHES,National,both, 15+, 15+,7357,5516,,,,,,,,,,,7357,5516,7690,5761,,,,lab,,,,South East Asia,East and South East Asia
individual,THA_1997_NHES,Thailand,THA,Yes,1997,1997,1997,Thailand National Health Examination Survey II,NHES,National,both, 13-59, 13-59,1854,1188,,,,,,,,,,,1854,1188,,,,,,lab,,,,South East Asia,East and South East Asia
individual,THA_2000_interASIA,Thailand,THA,Yes,2000,2000,2000,InterASIA,interASIA,National,both, 35+, 35+,3081,2019,3012,1912,3077,2016,3077,2016,3077,2016,3081,2017,3081,2019,,,1,1,,,,,,South East Asia,East and South East Asia
individual,THA_2004_NHES,Thailand,THA,Yes,2004,2004,2004,Thailand National Health Examination Survey III,NHES,National,both, 15+, 15+,20167,18826,,,,,,,,,,,20167,18826,6288,5335,,,,lab,,,,South East Asia,East and South East Asia
summary,THA_2004_NNST,Thailand,THA,Yes,2003,2004,2004,The Fifth National Nutrition Survey of Thailand,NNST,National,both, 15+, 15+,1298,1043,1245,1006,1298,1043,,,,,,,1298,1043,,,1,1,,lab,lab,lab,,South East Asia,East and South East Asia
summary,THA_2009_NHESIV,Thailand,THA,Yes,2009,2009,2009,Thailand National Health Examination Survey IV ,NHESIV,National,both, 15+, 15+,10506,9607,10503,9596,10501,9605,10500,9601,10500,9601,10505,9605,10506,9607,,,1,1,10,lab,lab,lab,lab,South East Asia,East and South East Asia
individual,TLS_2014_STEPS,Timor-Leste,TLS,Yes,2014,2014,2014,STEPS,STEPS,National,both, 18-69, 18-69,1415,1018,,,,,,,,,,,1415,1018,1417,1021,,,,cardiocheck,,,,South East Asia,East and South East Asia
individual,TGO_2010_STEPS,Togo,TGO,Yes,2010,2010,2010,STEPS,STEPS,National,both, 15-64, 15-64,870,668,,,,,,,,,,,870,668,1934,1848,,,,accutrend,,,,West Africa,Sub-Saharan Africa
individual,TKL_2005_STEPS,Tokelau,TKL,Yes,2005,2005,2005,STEPS,STEPS,National,both, 15-64, 15-64,199,173,,,,,,,,,,,199,173,,,,,,accutrend,,,,Polynesia and Micronesia,Oceania
individual,TKL_2014_STEPS,Tokelau,TKL,Yes,2014,2014,2014,STEPS,STEPS,National,both, 18-64, 18-64,277,256,,,272,251,272,248,272,248,,,277,256,271,250,,,,cardiocheck,,cardiocheck,,Polynesia and Micronesia,Oceania
individual,TON_2004_STEPS,Tonga,TON,Yes,2004,2004,2004,STEPS,STEPS,National,both, 15-64, 15-64,554,402,534,369,541,383,535,378,536,380,552,402,554,402,,,1,,,cholestech,cholestech,cholestech,cholestech,Polynesia and Micronesia,Oceania
individual,TON_2011_STEPS,Tonga,TON,Yes,2011,2011,2011,STEPS,STEPS,National,both, 15-64, 15-64,1217,798,,,,,,,,,,,1217,798,1402,878,,,,accutrend,,,,Polynesia and Micronesia,Oceania
last round,TUN_1989_15788001.1,Tunisia,TUN,No,NA,NA,1989,"Gharbi, 2002 (96)",NA,Community,both, 35-50, 35-50,356,314,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
last round,TUN_1989_15788001.2,Tunisia,TUN,No,NA,NA,1989,"Gharbi, 2002 (96)",NA,Community,both, 35-50, 35-50,356,314,,,,,,,,,,,,,,,,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
individual,TUN_1997_AHP,Tunisia,TUN,Yes,1996,1997,1997,Ariana Healthy Project 1997,AHP,Community,both, 35-65, 35-65,756,641,726,601,741,618,738,615,739,615,758,642,756,641,,,1,,,,,,,North Africa and Middle East,Central Asia and North Africa-Middle East
